orig_fips,county_state,total_out_exemptions
45015,"Berkeley County, South Carolina",8776
06113,"Yolo County, California",8748
09011,"New London County, Connecticut",8748
47065,"Hamilton County, Tennessee",8742
28049,"Hinds County, Mississippi",8722
12091,"Okaloosa County, Florida",8684
49057,"Weber County, Utah",8629
42017,"Bucks County, Pennsylvania",8565
53067,"Thurston County, Washington",8562
01101,"Montgomery County, Alabama",8527
48303,"Lubbock County, Texas",8416
17163,"St. Clair County, Illinois",8377
13051,"Chatham County, Georgia",8360
26139,"Ottawa County, Michigan",8181
12019,"Clay County, Florida",8097
06079,"San Luis Obispo County, California",8091
13057,"Cherokee County, Georgia",8078
21117,"Kenton County, Kentucky",8066
28047,"Harrison County, Mississippi",7926
36027,"Dutchess County, New York",7842
22017,"Caddo Parish, Louisiana",7799
06107,"Tulare County, California",7746
18003,"Allen County, Indiana",7732
39041,"Delaware County, Ohio",7711
39025,"Clermont County, Ohio",7700
24021,"Frederick County, Maryland",7680
31153,"Sarpy County, Nebraska",7654
36091,"Saratoga County, New York",7651
47149,"Rutherford County, Tennessee",7509
39151,"Stark County, Ohio",7425
06047,"Merced County, California",7365
01097,"Mobile County, Alabama",7262
20209,"Wyandotte County, Kansas",7216
39057,"Greene County, Ohio",7205
39165,"Warren County, Ohio",7196
08123,"Weld County, Colorado",7171
29099,"Jefferson County, Missouri",7106
51179,"Stafford County, Virginia",7101
22055,"Lafayette Parish, Louisiana",7071
31109,"Lancaster County, Nebraska",7043
34015,"Gloucester County, New Jersey",7006
01089,"Madison County, Alabama",6971
18141,"St. Joseph County, Indiana",6934
04021,"Pinal County, Arizona",6924
47125,"Montgomery County, Tennessee",6921
48245,"Jefferson County, Texas",6915
42045,"Delaware County, Pennsylvania",6862
13151,"Henry County, Georgia",6860
24025,"Harford County, Maryland",6770
06017,"El Dorado County, California",6725
17119,"Madison County, Illinois",6708
55087,"Outagamie County, Wisconsin",6621
48375,"Potter County, Texas",6613
01117,"Shelby County, Alabama",6586
48061,"Cameron County, Texas",6530
05143,"Washington County, Arkansas",6460
12111,"St. Lucie County, Florida",6444
42029,"Chester County, Pennsylvania",6401
39093,"Lorain County, Ohio",6389
35045,"San Juan County, New Mexico",6369
17201,"Winnebago County, Illinois",6342
12083,"Marion County, Florida",6285
48485,"Wichita County, Texas",6273
37025,"Cabarrus County, North Carolina",6256
48041,"Brazos County, Texas",6152
25001,"Barnstable County, Massachusetts",6149
44003,"Kent County, Rhode Island",6116
37021,"Buncombe County, North Carolina",6048
53005,"Benton County, Washington",5989
12085,"Martin County, Florida",5974
23031,"York County, Maine",5936
34001,"Atlantic County, New Jersey",5922
37135,"Orange County, North Carolina",5907
55139,"Winnebago County, Wisconsin",5870
37129,"New Hanover County, North Carolina",5863
51740,"Portsmouth city, Virginia",5839
55009,"Brown County, Wisconsin",5839
46099,"Minnehaha County, South Dakota",5837
48423,"Smith County, Texas",5818
47187,"Williamson County, Tennessee",5802
09007,"Middlesex County, Connecticut",5801
35013,"Dona Ana County, New Mexico",5794
22103,"St. Tammany Parish, Louisiana",5775
06007,"Butte County, California",5770
39045,"Fairfield County, Ohio",5770
06055,"Napa County, California",5699
04005,"Coconino County, Arizona",5695
37071,"Gaston County, North Carolina",5666
48251,"Johnson County, Texas",5665
18081,"Johnson County, Indiana",5663
48209,"Hays County, Texas",5594
13097,"Douglas County, Georgia",5593
35031,"McKinley County, New Mexico",5586
17019,"Champaign County, Illinois",5583
